"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geodata_center";"geoarea";
"7";"«Дербеневская наб.», 3-й Дербеневский переулок (7)";"37.6551636";"55.72566817";"3-й Дербеневский переулок";"Южный административный округ";"Даниловский район";"А632; А13";"Дербеневская наб.";"";"да";"ГУП «Мосгортранс»";"активна";"889076457";"0101000000CBC39D66DCD34240F7F2D0B1E2DC4B40";"";
"11";"«Наб. Тараса Шевченко», набережная Тараса Шевченко (11)";"37.57240854";"55.74944352";"набережная Тараса Шевченко";"Западный административный округ";"район Дорогомилово";"А205; А91";"Наб. Тараса Шевченко";"";"да";"ГУП «Мосгортранс»";"активна";"889076459";"010100000024A0DBAE44C94240B04CE8C3EDDF4B40";"";
"12";"«Наб. Тараса Шевченко», набережная Тараса Шевченко (12)";"37.57271647";"55.74976112";"набережная Тараса Шевченко";"Западный административный округ";"район Дорогомилово";"А91";"Наб. Тараса Шевченко";"";"да";"ГУП «Мосгортранс»";"активна";"889076460";"0101000000EA43F6C54EC942402E1B212CF8DF4B40";"";
"27";"«ВКНЦ», 3-я Черепковская улица (27)";"37.37550932";"55.7572642";"3-я Черепковская улица";"Западный административный округ";"район Кунцево";"А798; А816; А660";"ВКНЦ";"";"да";"ГУП «Мосгортранс»";"активна";"889076461";"0101000000215F7CB010B042403FB78608EEE04B40";"";
"33";"«Новосущевская ул.», улица Сущёвский Вал (33)";"37.60337594";"55.79289095";"улица Сущёвский Вал";"Северо-Восточный административный округ";"район Марьина Роща";"А126; А84; А384; АТ18; АТ42";"Новосущевская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076463";"010100000023BF3C6C3BCD4240AEC55D737DE54B40";"";
"35";"«Керамический пр.», Дубнинская улица (35)";"37.55724554";"55.89460802";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Керамический пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076464";"0101000000281265D253C74240D551FE8382F24B40";"";
"36";"«Ин-т Стали», Дубнинская улица (36)";"37.55729147";"55.89142924";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Ин-т Стали";"";"да";"ГУП «Мосгортранс»";"активна";"889076465";"0101000000B1FEAE5355C74240C33F745A1AF24B40";"";
"37";"«Мкр. Дубки», Дубнинская улица (37)";"37.55730686";"55.88768746";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Мкр. Дубки";"";"да";"ГУП «Мосгортранс»";"активна";"889076466";"0101000000AAC4C8D455C7424079E220BE9FF14B40";"";
"38";"«Д/к Юность», Дубнинская улица (38)";"37.5573643949";"55.8833589241";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Д/к Юность";"";"да";"ГУП «Мосгортранс»";"активна";"889076467";"010100000071066CB757C74240D3D1BCE711F14B40";"";
"39";"«Баскетбольная школа», улица 800-летия Москвы (39)";"37.55636146";"55.88011364";"улица 800-летия Москвы";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А748; А167; А857; А149";"Баскетбольная школа";"";"да";"ГУП «Мосгортранс»";"активна";"889076469";"010100000037BA31DA36C7424021485290A7F04B40";"";
"40";"«Ул. 800-летия Москвы», Дмитровское шоссе (40)";"37.54599654";"55.87767168";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А563; А763; А63; А994; АТ36; АТ78";"Ул. 800-летия Москвы";"";"да";"ГУП «Мосгортранс»";"активна";"889076470";"0101000000BB83F136E3C54240D91CAD8B57F04B40";"";
"41";"«Бескудниково», Дмитровское шоссе (41)";"37.54704248";"55.87458982";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А563; А763; А63; А994; АТ36; АТ78";"Бескудниково";"";"да";"ГУП «Мосгортранс»";"активна";"889076471";"0101000000B68FEC7C05C642404228298FF2EF4B40";"";
"42";"«Селигерская ул.», Дмитровское шоссе (42)";"37.54674812";"55.86919544";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А206к; А63";"Селигерская ул.";"";"нет";"";"активна";"889076472";"01010000005546A7D7FBC54240F050D2CB41EF4B40";"";
"43";"«Парк Святослава Федорова», Дмитровское шоссе (43)";"37.5484894912";"55.8633348164";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А563; А194; А763; А215; А591; А994; АТ36; АТ56; АТ78";"Парк Святослава Федорова";"";"да";"ГУП «Мосгортранс»";"активна";"889076473";"0101000000AC7355E734C64240D4F758C181EE4B40";"";
"44";"«Ильменский пр.», Дмитровское шоссе (44)";"37.55318989";"55.86077256";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А563; А194; А763; А215; А591; А994; АТ36; АТ56; АТ78";"Ильменский пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076475";"0101000000900323EDCEC64240423F95CB2DEE4B40";"";
"45";"«Метро Верхние Лихоборы - Северный вестибюль», Дмитровское шоссе (45)";"37.5582614716";"55.8582121735";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А563; А194; А763; А215; А591; А994; АТ36; АТ56; АТ78";"Метро Верхние Лихоборы - Северный вестибюль";"";"да";"ГУП «Мосгортранс»";"активна";"889076476";"0101000000C591A51C75C74240151B81E5D9ED4B40";"";
"47";"«Нижн. Лихоборы», Дмитровское шоссе (47)";"37.5673105";"55.84733792";"Дмитровское шоссе";"Северный административный округ";"Тимирязевский район";"А215; А282";"Нижн. Лихоборы";"";"да";"ГУП «Мосгортранс»";"активна";"889076478";"0101000000B51666A19DC84240C487A79175EC4B40";"";
"48";"«Метро Петровско-Разумовская», Локомотивный проезд (48)";"37.57585651";"55.83716907";"Локомотивный проезд";"Северный административный округ";"Тимирязевский район";"А204; А114; А282; А300; А461; АТ19";"Метро Петровско-Разумовская";"";"да";"ГУП «Мосгортранс»";"активна";"889076479";"0101000000C1D186AAB5C94240B66F285B28EB4B40";"";
"49";"«Михалковская ул.», Большая Академическая улица (49)";"37.53956854";"55.8371443498";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А204; А114; А323; А282; А300; А461; А591; АТ19; АТ57";"Михалковская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076480";"01010000000FA0F89410C542400A36CA8B27EB4B40";"";
"50";"«Стадион Наука», Большая Академическая улица (50)";"37.5328525";"55.83295208";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А204; А114; А323; А282; А461; А591; АТ19; АТ57";"Стадион Наука";"";"да";"ГУП «Мосгортранс»";"активна";"889076481";"0101000000C18BBE8234C442401A5E7B2C9EEA4B40";"";
"51";"«Управа района Коптево», улица Зои и Александра Космодемьянских (51)";"37.52242762";"55.82411549";"улица Зои и Александра Космодемьянских";"Северный административный округ";"район Коптево";"А179; А780; А204; А282; А591";"Управа района Коптево";"";"да";"ГУП «Мосгортранс»";"активна";"889076483";"0101000000AC3683E8DEC24240A8D6CA9D7CE94B40";"";
"52";"«К/т Рассвет», улица Зои и Александра Космодемьянских (52)";"37.51887274";"55.82307265";"улица Зои и Александра Космодемьянских";"Северный административный округ";"район Коптево";"А179; А780; А204; А282; А591";"К/т Рассвет";"";"да";"ГУП «Мосгортранс»";"активна";"889076484";"0101000000FF8A046C6AC24240B4FDD0715AE94B40";"";
"53";"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (53)";"37.51071983";"55.82087948";"улица Зои и Александра Космодемьянских";"Северный административный округ";"Войковский район";"А179; А780; АО23; А204; АО27; А282; А591";"3-й Новоподмосковный пер.";"";"нет";"";"активна";"889076485";"010100000064A273445FC142405C472C9412E94B40";"";
"54";"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (54)";"37.51203859";"55.8210445";"улица Зои и Александра Космодемьянских";"Северный административный округ";"Войковский район";"А179; А780; АО23; А204; АО27; А282; А591";"3-й Новоподмосковный пер.";"";"да";"ГУП «Мосгортранс»";"активна";"889076486";"0101000000842B037B8AC14240C40776FC17E94B40";"";
"55";"«К/т Рассвет», улица Зои и Александра Космодемьянских (55)";"37.51687828";"55.82237098";"улица Зои и Александра Космодемьянских";"Северный административный округ";"Войковский район";"А179; А780; АО23; А204; АО27; А282; А591";"К/т Рассвет";"";"да";"ГУП «Мосгортранс»";"активна";"889076487";"01010000006E4E461129C24240C623C87343E94B40";"";
"56";"«Управа района Коптево», улица Зои и Александра Космодемьянских (56)";"37.5231852";"55.82399093";"улица Зои и Александра Космодемьянских";"Северный административный округ";"район Коптево";"А179; А780; А204; А282; А591";"Управа района Коптево";"";"нет";"";"активна";"889076488";"010100000028E08DBBF7C242407B46E88878E94B40";"";
"57";"«Стадион Наука», Большая Академическая улица (57)";"37.53338601";"55.83304516";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А204; А114; А323; А282; А461; А591; АТ19; АТ57";"Стадион Наука";"";"да";"ГУП «Мосгортранс»";"активна";"889076489";"0101000000068C26FE45C4424042254B39A1EA4B40";"";
"61";"«7-й автобусный парк», Дмитровское шоссе (61)";"37.56524413";"55.85199725";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; АТ47; А677; А677К; АМ10; А114; А82; А692; А154; А194; А215; А282; А591; А994; АТ36; АТ56; АТ78; А466";"7-й автобусный парк";"";"да";"ГУП «Мосгортранс»";"активна";"889076490";"0101000000914D6EEB59C842401684F23E0EED4B40";"";
"62";"«Метро Верхние Лихоборы - Северный вестибюль», Дмитровское шоссе (62)";"37.55947707";"55.8580184";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; АТ47; А563; А194; А763; А215; А591; А799; А994; АТ36; АТ56; АТ78";"Метро Верхние Лихоборы - Северный вестибюль";"";"да";"ГУП «Мосгортранс»";"активна";"889076491";"01010000008641D3F19CC74240E1AE038CD3ED4B40";"";
"63";"«Ильменский пр.», Дмитровское шоссе (63)";"37.5540423035";"55.8609062765";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; АТ47; А563; А194; А763; А215; А591; А799; А994; АТ36; АТ56; АТ78";"Ильменский пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076492";"01010000000611B3DBEAC642408C3E472D32EE4B40";"";
"64";"«Парк Святослава Федорова», Дмитровское шоссе (64)";"37.54918648";"55.86376719";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А563; А763; А799; А994; АТ36; АТ78";"Парк Святослава Федорова";"";"да";"ГУП «Мосгортранс»";"активна";"889076493";"0101000000B08019BE4BC6424033345CEC8FEE4B40";"";
"65";"«Селигерская ул.», Дмитровское шоссе (65)";"37.54748211";"55.86854848";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А563; А763; А206к; А63; А799; А994; АТ36; АТ78";"Селигерская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076494";"01010000002BCCCEE413C64240964BBA982CEF4B40";"";
"66";"«Бескудниково», Дмитровское шоссе (66)";"37.54811496";"55.87427208";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А563; А763; А63; А799; А994; АТ36; АТ78";"Бескудниково";"";"да";"ГУП «Мосгортранс»";"активна";"889076495";"0101000000FDD289A128C64240F4B3C325E8EF4B40";"";
"67";"«Баскетбольная школа», Дубнинская улица (67)";"37.55775278";"55.88068293";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Баскетбольная школа";"";"да";"ГУП «Мосгортранс»";"активна";"889076496";"010100000032AD6E7164C742406B3FDF37BAF04B40";"";
"68";"«Д/к Юность», Дубнинская улица (68)";"37.5577084088";"55.8843275315";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Д/к Юность";"";"да";"ГУП «Мосгортранс»";"активна";"889076497";"0101000000074038FD62C74240595F01A531F14B40";"";
"69";"«Мкр. Дубки», Дубнинская улица (69)";"37.5576739643";"55.8881514089";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Мкр. Дубки";"";"да";"ГУП «Мосгортранс»";"активна";"889076498";"0101000000E53F47DC61C74240988F03F2AEF14B40";"";
"70";"«Ин-т Стали», Дубнинская улица (70)";"37.55762874";"55.89221605";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Ин-т Стали";"";"да";"ГУП «Мосгортранс»";"активна";"889076499";"01010000000ACEE86060C74240B0DBB12234F24B40";"";
"71";"«Керамический пр.», Дубнинская улица (71)";"37.5575677861";"55.8935280894";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Керамический пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076500";"0101000000234D97615EC74240E303E1205FF24B40";"";
"72";"«Ст. МЦД Лианозово (выс.)», Дубнинская улица (72)";"37.55445131";"55.89652393";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Ст. МЦД Лианозово (выс.)";"";"нет";"";"активна";"889076501";"010100000051D6B142F8C6424038B7CF4BC1F24B40";"";
"73";"«Платф. Грачёвская», Ангарская улица (73)";"37.51160056";"55.86956661";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А665; А748; А215К; А154; А928; А191; А215; А270; А571; А591";"Платф. Грачёвская";"";"да";"ГУП «Мосгортранс»";"активна";"889076502";"01010000005BE88C207CC1424061D26BF54DEF4B40";"";
"74";"«Весенняя ул.», Ангарская улица (74)";"37.51459808";"55.87376954";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А665; А928; А270; А571; А591";"Весенняя ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076503";"01010000009A179259DEC142403E4527AED7EF4B40";"";
"75";"«Мкр. Западное Дегунино», Ангарская улица (75)";"37.5174212";"55.87606574";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А665; А928; А270; А571; А591";"Мкр. Западное Дегунино";"";"да";"ГУП «Мосгортранс»";"активна";"889076504";"0101000000E8209EDB3AC24240183913EC22F04B40";"";
"76";"«Ангарская ул.», Коровинское шоссе (76)";"37.52218296";"55.87921929";"Коровинское шоссе";"Северный административный округ";"Дмитровский район";"А665; А799; А656; А114; А191; А270; А571; АТ56";"Ангарская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076505";"01010000003FDD27E4D6C24240FB47F8418AF04B40";"";
"77";"«Колледж № 7», Клязьминская улица (77)";"37.52067236";"55.88456731";"Клязьминская улица";"Северный административный округ";"Дмитровский район";"А665; А200; А194; А571";"Колледж № 7";"";"да";"ГУП «Мосгортранс»";"активна";"889076506";"0101000000C9105364A5C24240C5C7698039F14B40";"";
"78";"«Ин-т Микрохирургии глаза», Коровинское шоссе (78)";"37.53738746";"55.86877206";"Коровинское шоссе";"Северный административный округ";"район Западное Дегунино";"А215К; А656; А672; А194; А191; А591; АТ56";"Ин-т Микрохирургии глаза";"";"да";"ГУП «Мосгортранс»";"активна";"889076507";"010100000081FDBE1CC9C4424074B040EC33EF4B40";"";
"79";"«Селигерская ул.», Коровинское шоссе (79)";"37.54237868";"55.86639614";"Коровинское шоссе";"Северный административный округ";"район Западное Дегунино";"А591";"Селигерская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076508";"0101000000E65222AA6CC542401F579711E6EE4B40";"";
"80";"«К/т Комсомолец», Дмитровское шоссе (80)";"37.57003659";"55.84090834";"Дмитровское шоссе";"Северный административный округ";"Тимирязевский район";"АТ47; А677; АМ10; А114; А82; А692; А215; А466; АТ56; АТ78";"К/т Комсомолец";"";"да";"ГУП «Мосгортранс»";"активна";"889076509";"010100000064C97FF5F6C84240E89D6DE2A2EB4B40";"";
"81";"«Педагогический колледж», Большая Академическая улица (81)";"37.55258978";"55.84190084";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А204; А123; А114; А87; А282; А461; А591; АТ19; АТ57";"Педагогический колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889076510";"0101000000179A0C43BBC6424031231F68C3EB4B40";"";
"82";"«Университет Природообустройства», Большая Академическая улица (82)";"37.54470218";"55.83894722";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А204; А114; А323; А282; А461; А591; АТ19; АТ57";"Университет Природообустройства";"";"да";"ГУП «Мосгортранс»";"активна";"889076511";"0101000000789410CDB8C542402D7C5C9F62EB4B40";"";
"83";"«Роддом № 27», Большая Академическая улица (83)";"37.53038275";"55.8289194";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А204; А323; А282; А300; А461; А591; АТ19; АТ57";"Роддом № 27";"";"да";"ГУП «Мосгортранс»";"активна";"889076512";"010100000068CEFA94E3C342408D02E9071AEA4B40";"";
"84";"«Роддом № 27», Большая Академическая улица (84)";"37.53085818";"55.82911305";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А204; А323; А282; А300; А461; А591; АТ19; АТ57";"Роддом № 27";"";"да";"ГУП «Мосгортранс»";"активна";"889076513";"010100000001F52C29F3C34240E9375D6020EA4B40";"";
"85";"«Университет Природообустройства», Большая Академическая улица (85)";"37.54499163";"55.83864991";"Большая Академическая улица";"Северный административный округ";"Тимирязевский район";"А179; А204; А114; А282; А461; А591; АТ19; АТ57";"Университет Природообустройства";"";"да";"ГУП «Мосгортранс»";"активна";"889076514";"0101000000CCB82549C2C54240261F58E158EB4B40";"";
"86";"«Педагогический колледж», Большая Академическая улица (86)";"37.5546848";"55.84225467";"Большая Академическая улица";"Северный административный округ";"Тимирязевский район";"А179; А204; А123; А114; А87; А282; А461; А591; АТ19; АТ57";"Педагогический колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889076515";"01010000004DCB59E9FFC64240D2464300CFEB4B40";"";
"87";"«Метро Петровско-Разумовская», улица Линии Октябрьской Железной Дороги (87)";"37.5755751";"55.83730911";"улица Линии Октябрьской Железной Дороги";"Северный административный округ";"Тимирязевский район";"А194; А215";"Метро Петровско-Разумовская";"";"да";"ГУП «Мосгортранс»";"активна";"889076516";"01010000002B72E371ACC94240E30BE6F12CEB4B40";"";
"91";"«Метро Селигерская», Коровинское шоссе (91)";"37.54477895";"55.86556347";"Коровинское шоссе";"Северный административный округ";"Бескудниковский район";"А215К; А656; А672; А194; А191; А591; АТ56";"Метро Селигерская";"";"да";"ГУП «Мосгортранс»";"активна";"889076517";"01010000004DE60E51BBC542409221A6C8CAEE4B40";"";
"92";"«Селигерская ул.», Коровинское шоссе (92)";"37.54054356";"55.86754868";"Коровинское шоссе";"Северный административный округ";"Бескудниковский район";"А215К; А656; А672; А194; А191; А591; АТ56";"Селигерская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076518";"0101000000B821088830C54240DC24CCD50BEF4B40";"";
"93";"«Ин-т Микрохирургии глаза», Коровинское шоссе (93)";"37.53539092";"55.86998419";"Коровинское шоссе";"Северный административный округ";"Бескудниковский район";"А215К; А656; А672; А194; А191; А591; АТ56";"Ин-т Микрохирургии глаза";"";"да";"ГУП «Мосгортранс»";"активна";"889076519";"0101000000D8FC8DB087C44240240B56A45BEF4B40";"";
"94";"«Колледж № 7», Клязьминская улица (94)";"37.51853547";"55.88351247";"Клязьминская улица";"Северный административный округ";"Дмитровский район";"А665; А194; А571";"Колледж № 7";"";"да";"ГУП «Мосгортранс»";"активна";"889076520";"0101000000A6BBCA5E5FC242400C21C6EF16F14B40";"";
"95";"«Ангарская ул.», Ангарская улица (95)";"37.5202723";"55.87759056";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А665; А928; А270; А571; А591";"Ангарская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076521";"0101000000E2C1604898C242403A3D31E354F04B40";"";
"96";"«Мкр. Западное Дегунино», Ангарская улица (96)";"37.51697285";"55.87600214";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А665; А928; А270; А571; А591";"Мкр. Западное Дегунино";"";"да";"ГУП «Мосгортранс»";"активна";"889076522";"0101000000C0D5952A2CC2424054438FD620F04B40";"";
"97";"«Весенняя ул.», Ангарская улица (97)";"37.51498184";"55.87432548";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А665; А928; А270; А571; А591";"Весенняя ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076523";"0101000000BD6AC8ECEAC142406B54B7E5E9EF4B40";"";
"98";"«Платф. Грачёвская», Ангарская улица (98)";"37.51078637";"55.86998315";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А665; А748; А215К; А154; А928; А191; А215; А270; А571; А591";"Платф. Грачёвская";"";"нет";"";"активна";"889076524";"01010000003F32A17261C1424019A99C9B5BEF4B40";"";
"99";"«Онкологический диспансер», Старопетровский проезд (99)";"37.50259018";"55.82324046";"Старопетровский проезд";"Северный административный округ";"Войковский район";"А621; А90; А114; А888";"Онкологический диспансер";"";"да";"ГУП «Мосгортранс»";"активна";"889076525";"0101000000043201E054C04240D53882F15FE94B40";"";
"100";"«Старопетровский пр.», Старопетровский проезд (100)";"37.50872434";"55.82466889";"Старопетровский проезд";"Северный административный округ";"Войковский район";"А621; А90; А114; А888";"Старопетровский пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076526";"0101000000567D11E11DC14240104A0CC08EE94B40";"";
"101";"«Ф-ка игрушек», улица Клары Цеткин (101)";"37.51170757";"55.82979654";"улица Клары Цеткин";"Северный административный округ";"район Коптево";"А621; А90";"Ф-ка игрушек";"";"да";"ГУП «Мосгортранс»";"активна";"889076527";"0101000000002237A27FC1424025D1E4C536EA4B40";"";
"103";"«Диспансер», Михалковская улица (103)";"37.50611432";"55.83722166";"Михалковская улица";"Северный административный округ";"район Коптево";"А621; А123; А90; А565";"Диспансер";"";"да";"ГУП «Мосгортранс»";"активна";"889076528";"0101000000F937A25AC8C04240F69950142AEB4B40";"";
"104";"«Электромеханический колледж», Михалковская улица (104)";"37.51312248";"55.83772474";"Михалковская улица";"Северный административный округ";"район Коптево";"А621; А123; А90; А565";"Электромеханический колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889076529";"0101000000A13857FFADC14240D0AC74903AEB4B40";"";
"105";"«Ф-ка им. Петра Алексеева», Михалковская улица (105)";"37.51644356";"55.8395005";"Михалковская улица";"Северный административный округ";"район Коптево";"А621; А123; А90; А565";"Ф-ка им. Петра Алексеева";"";"да";"ГУП «Мосгортранс»";"активна";"889076530";"0101000000043794D21AC24240E23C9CC074EB4B40";"";
"106";"«Ст. МЦК Коптево», Михалковская улица (106)";"37.51935117";"55.84121915";"Михалковская улица";"Северный административный округ";"район Коптево";"А621; А123; А90; А565";"Ст. МЦК Коптево";"";"да";"ГУП «Мосгортранс»";"активна";"889076531";"0101000000092561197AC242406C02B111ADEB4B40";"";
"107";"«Онежская ул. - Колледж», Онежская улица (107)";"37.52181196";"55.84540799";"Онежская улица";"Северный административный округ";"Головинский район";"А621; А123; А90; А22; А72; А565; А801; А139; А595; А888";"Онежская ул. - Колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889076532";"01010000004B6EFBBBCAC24240DE693A5436EC4B40";"";
"108";"«3-й Лихачевский пер.», Онежская улица (108)";"37.52077371";"55.84940542";"Онежская улица";"Северный административный округ";"Головинский район";"А621; А90; А72; А565; А801; А139; А595; А888";"3-й Лихачевский пер.";"";"да";"ГУП «Мосгортранс»";"активна";"889076533";"0101000000868882B6A8C24240FAF81951B9EC4B40";"";
"109";"«Онежская ул., 19», Онежская улица (109)";"37.5192826";"55.85217697";"Онежская улица";"Северный административный округ";"Головинский район";"А621; А90; А72; А565; А801; А139; А595; А888";"Онежская ул., 19";"";"да";"ГУП «Мосгортранс»";"активна";"889076534";"0101000000E0302CDA77C24240F6468C2214ED4B40";"";
"110";"«Солнечногорская ул.», Онежская улица (110)";"37.51306166";"55.85651928";"Онежская улица";"Северный административный округ";"Головинский район";"А621; А65; А90; А65К; А565; А801";"Солнечногорская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076535";"010100000007442501ACC142402AFF7B6CA2ED4B40";"";
"111";"«Флотская ул.», Онежская улица (111)";"37.50880466037595";"55.859596861010075";"Онежская улица";"Северный административный округ";"Головинский район";"А65; А90; А65К; А565; А801; А500";"Флотская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076536";"0101000000FD2ED88220C142402AE41A4507EE4B40";"";
"112";"«Фестивальная ул.», Петрозаводская улица (112)";"37.50413371";"55.86302215";"Петрозаводская улица";"Северный административный округ";"район Ховрино";"А233; А90; А801; А594";"Фестивальная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076537";"01010000006DA1127487C042409FFC828277EE4B40";"";
"113";"«М-н Книги», Петрозаводская улица (113)";"37.5002661697";"55.8647419791";"Петрозаводская улица";"Северный административный округ";"район Ховрино";"А233; А90; А801; А594";"М-н Книги";"";"да";"ГУП «Мосгортранс»";"активна";"889076538";"01010000000E14CBB808C042403EDB7BDDAFEE4B40";"";
"114";"«Аптека», Петрозаводская улица (114)";"37.49690351";"55.86590354";"Петрозаводская улица";"Северный административный округ";"район Ховрино";"А233; А90; А801; А594";"Аптека";"";"да";"ГУП «Мосгортранс»";"активна";"889076539";"0101000000DB5BC2889ABF424033E55CEDD5EE4B40";"";
"115";"«Петрозаводская ул.», Петрозаводская улица (115)";"37.49047802";"55.86710975";"Петрозаводская улица";"Северный административный округ";"район Ховрино";"А90; А801; А500; АТ58";"Петрозаводская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076540";"010100000046A7D7FBC7BE42407825C973FDEE4B40";"";
"116";"«15-й таксомоторный парк», Беломорская улица (116)";"37.4835904385";"55.8670126721";"Беломорская улица";"Северный административный округ";"район Ховрино";"А90; А500; АТ58";"15-й таксомоторный парк";"";"да";"ГУП «Мосгортранс»";"активна";"889076541";"010100000006029F4AE6BD42408CF16F45FAEE4B40";"";
"117";"«Метро Беломорская», Смольная улица (117)";"37.47707357";"55.86531154";"Смольная улица";"Северный административный округ";"район Левобережный";"А90; А173; А400; А199; А851; А270; А338; А739; АТ58";"Метро Беломорская";"";"нет";"";"активна";"889076542";"0101000000CE772ABF10BD424061934E87C2EE4B40";"";
"118";"«Смольная ул., 45», Смольная улица (118)";"37.47967752";"55.86286328";"Смольная улица";"Северный административный округ";"район Левобережный";"А90; А173; А199; А851; А270; А338; А739; АТ58";"Смольная ул., 45";"";"да";"ГУП «Мосгортранс»";"активна";"889076543";"01010000006183AE1266BD42407842D04D72EE4B40";"";
"119";"«Школа им. Марш. Говорова», Смольная улица (119)";"37.48169028";"55.86114044";"Смольная улица";"Северный административный округ";"район Левобережный";"А90; А173; А199; А851; А270; А338; А739; АТ58";"Школа им. Марш. Говорова";"";"да";"ГУП «Мосгортранс»";"активна";"889076544";"010100000057B3EF06A8BD4240128895D939EE4B40";"";
"120";"«Смольная ул.», Фестивальная улица (120)";"37.48466984";"55.8581037";"Фестивальная улица";"Северный административный округ";"район Левобережный";"А233; А90; А173; А199; А200; А857; А851; А801; А284; А138; А188; А270; А338; А451; А739; А745; АТ58";"Смольная ул.";"";"нет";"";"активна";"889076545";"01010000002B144CA909BE4240CE099057D6ED4B40";"";
"121";"«Автокомбинат № 3», улица Линии Октябрьской Железной Дороги (121)";"37.56315646";"55.84366117";"улица Линии Октябрьской Железной Дороги";"Северный административный округ";"Тимирязевский район";"А204; А123; А114; А282; А461; АТ19";"Автокомбинат № 3";"";"да";"ГУП «Мосгортранс»";"активна";"889076546";"0101000000961DC98215C842400D07D716FDEB4B40";"";
