"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geodata_center";"geoarea";
"5677";"«Жигулевская ул.», Жигулёвская улица (5677)";"37.762404819";"55.7111610454";"Жигулёвская улица";"Юго-Восточный административный округ";"район Кузьминки";"АВч; А143; А569; А334; А443";"Жигулевская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889090276";"01010000007AF5297B96E1424051173C5307DB4B40";"";
"5678";"«Окская ул., 18», Окская улица (5678)";"37.7566448316";"55.7123354074";"Окская улица";"Юго-Восточный административный округ";"Рязанский район";"А234; АВч; А143; А569; А334; А443";"Окская ул., 18";"";"да";"ГУП «Мосгортранс»";"активна";"889090278";"01010000006834E3BCD9E042406D487FCE2DDB4B40";"";
"5679";"«М-н Оптика», Окская улица (5679)";"37.7527443168";"55.7113734117";"Окская улица";"Южный административный округ";"район Москворечье-Сабурово";"А234; АВч; А143; А569; А334; А443";"М-н Оптика";"";"да";"ГУП «Мосгортранс»";"активна";"889090279";"0101000000F373FFEC59E042406B3FB1480EDB4B40";"";
"5681";"«Метро Текстильщики», Люблинская улица (5681)";"37.73013557";"55.70845215";"Люблинская улица";"Южный административный округ";"район Москворечье-Сабурово";"АТ27; АВч; А530; АТ38";"Метро Текстильщики";"";"да";"ГУП «Мосгортранс»";"активна";"889090280";"0101000000EE65151575DD4240F4835F8FAEDA4B40";"";
"5682";"«Ул. Шкулева», улица Шкулёва (5682)";"37.73640221";"55.69265135";"улица Шкулёва";"Центральный административный округ";"район Замоскворечье";"А228; АВч; АС4";"Ул. Шкулева";"";"да";"ГУП «Мосгортранс»";"активна";"889090281";"01010000007953786D42DE4240DFE3A7CCA8D84B40";"";
"5683";"«Ул. Артюхиной», улица Шкулёва (5683)";"37.7407805";"55.69301812";"улица Шкулёва";"Юго-Восточный административный округ";"район Текстильщики";"А228; АВч; АС4";"Ул. Артюхиной";"";"да";"ГУП «Мосгортранс»";"активна";"889090283";"0101000000DC813AE5D1DE4240BB7758D1B4D84B40";"";
"5684";"«Строительный техникум», улица Шкулёва (5684)";"37.7451119";"55.69333547";"улица Шкулёва";"Центральный административный округ";"Таганский район";"А228; АВч; АС4";"Строительный техникум";"";"да";"ГУП «Мосгортранс»";"активна";"889090284";"0101000000222EA5D35FDF424045677837BFD84B40";"";
"5685";"«Метро Кузьминки», Волгоградский проспект (5685)";"37.76484956";"55.70527919";"Волгоградский проспект";"Юго-Восточный административный округ";"район Кузьминки";"АВк";"Метро Кузьминки";"";"да";"ГУП «Мосгортранс»";"активна";"889090285";"0101000000AE472397E6E14240B8CCA79646DA4B40";"";
"5686";"«Метро Бибирево (пос.)», Бибиревская улица (5686)";"37.60500944";"55.88375962";"Бибиревская улица";"Северо-Восточный административный округ";"район Бибирево";"А278; А705; АН9; А31; А92; А282; А353; А592";"Метро Бибирево (пос.)";"";"да";"ГУП «Мосгортранс»";"активна";"889090287";"0101000000204907F370CD424073B604091FF14B40";"";
"5687";"«Метро Алтуфьево», улица Лескова (5687)";"37.58885629";"55.89858224";"улица Лескова";"Центральный административный округ";"Тверской район";"А92; А284; А774; А928; А592; А601; А815";"Метро Алтуфьево";"";"да";"ГУП «Мосгортранс»";"активна";"889090288";"010100000005CC95A45FCB424081C82ABE04F34B40";"";
